wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.836,0.8354392333622116,0.8354392333622116,0.04630334761116089
db2,4,0.8400000000000001,0.8394390232853486,0.8394390232853486,0.043817804600413277
db2,5,0.826,0.8252420571040149,0.8252420571040151,0.04923413450036468
db2,6,0.8540000000000001,0.8541110229005264,0.8541110229005264,0.04029888335921977
db4,3,0.85,0.8489520205971829,0.8489520205971829,0.026076809620810583
db4,4,0.8640000000000001,0.863582647713107,0.863582647713107,0.018547236990991423
db4,5,0.858,0.8578385314621395,0.8578385314621396,0.03310589071449369
db4,6,0.868,0.8679732069385471,0.8679732069385471,0.03310589071449373
db6,3,0.866,0.8649096009998777,0.8649096009998779,0.028705400188814675
db6,4,0.868,0.8668784130071984,0.8668784130071984,0.014696938456699083
db6,5,0.892,0.8916473013386765,0.8916473013386768,0.034292856398964476
db6,6,0.8880000000000001,0.8872584807860804,0.8872584807860802,0.024819347291981732
db8,3,0.874,0.8727311317657003,0.8727311317657003,0.014966629547095779
db8,4,0.8699999999999999,0.8684383867807146,0.8684383867807146,0.028284271247461926
db8,5,0.8799999999999999,0.879805913777135,0.879805913777135,0.01549193338482968
db8,6,0.8539999999999999,0.853478711121306,0.853478711121306,0.00489897948556636
sym2,3,0.836,0.8354392333622116,0.8354392333622116,0.04630334761116089
sym2,4,0.8400000000000001,0.8394390232853486,0.8394390232853486,0.043817804600413277
sym2,5,0.826,0.8252420571040149,0.8252420571040151,0.04923413450036468
sym2,6,0.8540000000000001,0.8541110229005264,0.8541110229005264,0.04029888335921977
sym4,3,0.8699999999999999,0.8686210693993844,0.8686210693993844,0.018973665961010293
sym4,4,0.866,0.8637107313461614,0.8637107313461614,0.051224993899462765
sym4,5,0.868,0.8668900962918935,0.8668900962918936,0.043543082114154454
sym4,6,0.882,0.881119895101804,0.8811198951018039,0.027856776554368263
sym6,3,0.866,0.8645439316200877,0.8645439316200877,0.03498571136907183
sym6,4,0.8799999999999999,0.879499781348305,0.8794997813483052,0.02097617696340305
sym6,5,0.8699999999999999,0.8700128695507384,0.8700128695507386,0.03162277660168382
sym6,6,0.8699999999999999,0.8701347637924048,0.8701347637924048,0.026076809620810618
coif1,3,0.8379999999999999,0.8369537274236203,0.8369537274236203,0.023151673805580444
coif1,4,0.852,0.8518612208377858,0.851861220837786,0.037094473981982824
coif1,5,0.8480000000000001,0.8479656069197222,0.8479656069197222,0.0271293199325011
coif1,6,0.8619999999999999,0.8610690459141365,0.8610690459141365,0.01720465053408527
coif3,3,0.876,0.8748286880417208,0.8748286880417208,0.03773592452822645
coif3,4,0.8779999999999999,0.876342701332683,0.876342701332683,0.029933259094191558
coif3,5,0.874,0.8735414505255387,0.8735414505255387,0.039293765408777
coif3,6,0.876,0.8750171852059185,0.8750171852059185,0.021540659228538036
