window_size_sec,accuracy,f1_macro,f1_weighted,std_accuracy
0.5,0.9719999999999999,0.9713415182734823,0.9719256114018631,0.033105890714493685
1.0,0.974,0.9740239144184392,0.9739095702161192,0.01019803902718558
2.0,0.97,0.9699571674304238,0.9699563030987935,0.020000000000000018
3.0,0.966,0.9666559330995733,0.9659971447821448,0.013564659966250548
5.0,0.962,0.9641175528403603,0.96197672949673,0.007483314773547889
full,0.968,0.9690780886461272,0.967974579289345,0.011661903789690611
