m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.8133333333333332,0.7899264985028455,0.8131954087844424,0.026666666666666637
1.0,0.15,0.8400000000000001,0.817041364827707,0.8385067409467247,0.022607766610417544
1.0,0.2,0.8099999999999999,0.7840317673224775,0.8084069727371975,0.05011098792790968
1.0,0.25,0.7466666666666667,0.7173346672503298,0.7473885939428108,0.019436506316151028
1.0,0.3,0.8066666666666666,0.7772980592023452,0.8037141584557702,0.040276819911981884
2.0,0.1,0.8933333333333333,0.8825665729852699,0.89431050194547,0.02708012801545319
2.0,0.15,0.8666666666666666,0.8490292750236662,0.8661441784456432,0.038005847503304595
2.0,0.2,0.8633333333333333,0.842888145136935,0.8616932138144072,0.026666666666666655
2.0,0.25,0.9266666666666667,0.917402242403312,0.9265941601043582,0.034318767136623324
2.0,0.3,0.9133333333333333,0.9033062216630894,0.9135397099453583,0.01632993161855452
3.0,0.1,0.9433333333333334,0.9364550749373741,0.9434157245628552,0.03091206165165233
3.0,0.15,0.9200000000000002,0.9093735325835712,0.9196747508662673,0.02449489742783178
3.0,0.2,0.8866666666666667,0.8730393278842892,0.8868709623231587,0.012472191289246475
3.0,0.25,0.8633333333333333,0.8445316531314282,0.8624909587390472,0.03559026084010435
3.0,0.3,0.86,0.8396919492811662,0.8586985774491124,0.04027681991198188
