window_size_sec,accuracy,f1_macro,f1_weighted,std_accuracy
0.5,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
1.0,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
2.0,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
3.0,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
5.0,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
full,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
