wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.966,0.9656942590455297,0.9658687769429335,0.014966629547095779
db2,4,0.95,0.9517662183256645,0.9500383647934212,0.019999999999999987
db2,5,0.9639999999999999,0.9643265585149026,0.9640338499435837,0.013564659966250548
db2,6,0.9659999999999999,0.9650369745034529,0.9659659712620978,0.01019803902718558
db4,3,0.9719999999999999,0.9697408212357234,0.9718015746480889,0.016000000000000014
db4,4,0.9640000000000001,0.9616239198140134,0.9639826446944779,0.013564659966250548
db4,5,0.9640000000000001,0.960427927461161,0.9641941247392681,0.02059126028197402
db4,6,0.9639999999999999,0.9607438144680138,0.9638786981808567,0.018547236990991423
db6,3,0.9800000000000001,0.9783098500721531,0.9799291148243663,0.010954451150103333
db6,4,0.962,0.960116852756364,0.9620467219946235,0.009797958971132722
db6,5,0.9640000000000001,0.96363939796633,0.9641062052985238,0.01019803902718558
db6,6,0.97,0.9685855548572727,0.970041593567655,0.016733200530681523
db8,3,0.9739999999999999,0.9724862838899371,0.973915194380066,0.01200000000000001
db8,4,0.958,0.9561449728975528,0.9577744558775517,0.011661903789690611
db8,5,0.96,0.959133937627745,0.9600203070965968,0.008944271909999166
db8,6,0.968,0.9640047861936839,0.9679121925388697,0.019390719429665335
sym2,3,0.966,0.9656942590455297,0.9658687769429335,0.014966629547095779
sym2,4,0.95,0.9517662183256645,0.9500383647934212,0.019999999999999987
sym2,5,0.9639999999999999,0.9643265585149026,0.9640338499435837,0.013564659966250548
sym2,6,0.9659999999999999,0.9650369745034529,0.9659659712620978,0.01019803902718558
sym4,3,0.962,0.9607977745654768,0.96199299556687,0.007483314773547889
sym4,4,0.9640000000000001,0.964277255805907,0.9640299185811404,0.01200000000000001
sym4,5,0.9620000000000001,0.961121892176916,0.9622271282736448,0.024819347291981694
sym4,6,0.9640000000000001,0.9628903583798063,0.9641829675507928,0.024166091947189133
sym6,3,0.9640000000000001,0.9604407603716917,0.9637751048501171,0.013564659966250548
sym6,4,0.9639999999999999,0.963723064991411,0.9642105555656902,0.013564659966250548
sym6,5,0.9719999999999999,0.9696109305502774,0.9721511652783812,0.011661903789690611
sym6,6,0.966,0.9638361735867103,0.9661958158964599,0.016248076809271938
coif1,3,0.952,0.9514467367600329,0.9517986420077168,0.01166190378969057
coif1,4,0.9540000000000001,0.9523938511902209,0.9539874352599194,0.004898979485566361
coif1,5,0.96,0.9594687511099419,0.9602433589932758,0.019999999999999987
coif1,6,0.962,0.9584029032962673,0.9620439637491198,0.016000000000000014
coif3,3,0.968,0.9664766036625421,0.9678332315089893,0.00979795897113272
coif3,4,0.966,0.9667480708853011,0.9660549798001439,0.008000000000000007
coif3,5,0.968,0.966586552533103,0.9684008403171889,0.018330302779823376
coif3,6,0.9700000000000001,0.9696448011324994,0.9702370168027427,0.02097617696340305
