m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.86,0.8337188099697699,0.855654697160042,0.03887301263230198
1.0,0.1,2.0,0.7566666666666667,0.7197804671394412,0.7533824433484523,0.0501109879279097
1.0,0.1,3.0,0.8066666666666666,0.7743210286388835,0.8025709365014511,0.054365021434333624
1.0,0.2,1.0,0.8300000000000001,0.7955487386701274,0.8232900090930606,0.03858612300930076
1.0,0.2,2.0,0.7666666666666667,0.7151857140677462,0.7549634624202072,0.04082482904638632
1.0,0.2,3.0,0.7833333333333332,0.7508523366900789,0.7804985352589358,0.0869226987360353
1.0,0.3,1.0,0.8,0.7655797891343302,0.794777504201462,0.02108185106778919
1.0,0.3,2.0,0.7433333333333333,0.7022985829536534,0.7388138468516967,0.037416573867739424
1.0,0.3,3.0,0.8,0.766105432339513,0.7954391258564967,0.08096638534327413
2.0,0.1,1.0,0.9366666666666668,0.9278433578739138,0.9361783501215305,0.02449489742783177
2.0,0.1,2.0,0.7333333333333332,0.6848014299612393,0.724895190503864,0.0505525029603437
2.0,0.1,3.0,0.7166666666666667,0.6611876988256377,0.7067778812755253,0.010540925533894595
2.0,0.2,1.0,0.8733333333333333,0.8562610332599897,0.8725837402896659,0.03431876713662333
2.0,0.2,2.0,0.74,0.6736479315282191,0.7223971011259227,0.05011098792790971
2.0,0.2,3.0,0.69,0.6244512940120408,0.6752356068589808,0.038873012632302015
2.0,0.3,1.0,0.8766666666666666,0.8594457954186497,0.8757349039019118,0.027080128015453175
2.0,0.3,2.0,0.7233333333333334,0.656580714726785,0.7065552550198813,0.029059326290271168
2.0,0.3,3.0,0.7266666666666666,0.671566967048985,0.7158545320039786,0.02260776661041758
3.0,0.1,1.0,0.9433333333333334,0.9359919717882663,0.9431842155595916,0.008164965809277232
3.0,0.1,2.0,0.8866666666666667,0.8681641751800877,0.8845710367154881,0.03559026084010435
3.0,0.1,3.0,0.7699999999999999,0.7277708098952262,0.7633647050620691,0.033993463423951924
3.0,0.2,1.0,0.8899999999999999,0.872919173059578,0.8881753340422532,0.038873012632301994
3.0,0.2,2.0,0.8366666666666667,0.809338590811079,0.8333727805992561,0.04642796092394706
3.0,0.2,3.0,0.74,0.6865477482847415,0.7287953163105483,0.02905932629027116
3.0,0.3,1.0,0.82,0.7907224054083803,0.8162445672337192,0.02867441755680874
3.0,0.3,2.0,0.8166666666666668,0.7876480641797434,0.8132169749649298,0.04346134936801767
3.0,0.3,3.0,0.77,0.725208463204008,0.7620852469564997,0.0653197264742181
