m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.8566666666666667,0.8393123632415594,0.8569026214911432,0.030912061651652344
1.0,0.15,0.8666666666666666,0.8449442456195012,0.8642070012305771,0.02581988897471611
1.0,0.2,0.8466666666666667,0.8260614959509465,0.8459089363563166,0.03559026084010437
1.0,0.25,0.8399999999999999,0.8149308129279984,0.8375559636104051,0.04294699575575042
1.0,0.3,0.8399999999999999,0.814326322464115,0.8371219222812554,0.03590109871423001
2.0,0.1,0.9133333333333333,0.902307537315188,0.9132185657276969,0.019436506316150973
2.0,0.15,0.8766666666666666,0.8603735789556624,0.8761985565987531,0.022607766610417548
2.0,0.2,0.8733333333333334,0.8565914515025312,0.872883390976213,0.013333333333333324
2.0,0.25,0.9266666666666667,0.9172444358684668,0.9265326328375425,0.02905932629027114
2.0,0.3,0.9299999999999999,0.9212754469792414,0.9298661943704782,0.02211083193570267
3.0,0.1,0.9433333333333331,0.9364340018682972,0.9433721541837727,0.016996731711975955
3.0,0.15,0.9366666666666668,0.9278439433279232,0.936232244682429,0.01632993161855452
3.0,0.2,0.9,0.887390812542155,0.8998627644334032,0.010540925533894595
3.0,0.25,0.8800000000000001,0.8643622737039314,0.8794912940670319,0.019436506316150973
3.0,0.3,0.8666666666666668,0.8495895304239334,0.8664458310671403,0.040824829046386304
