window_size_sec,accuracy,f1_macro,f1_weighted,std_accuracy
0.5,0.9833333333333334,0.980995629609291,0.9832144310878451,0.010540925533894595
1.0,0.99,0.9887951528249459,0.9900195533600906,0.013333333333333336
2.0,0.9799999999999999,0.9770921177896472,0.9798091188820764,0.012472191289246462
3.0,0.9833333333333334,0.9809991472496821,0.9832170366388023,0.014907119849998594
5.0,0.99,0.9886039886039886,0.9899335232668566,0.008164965809277286
full,0.99,0.9884991472496821,0.989883703305469,0.013333333333333336
