wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.85,0.8502106401140344,0.8502106401140346,0.027568097504180468
db2,4,0.8619999999999999,0.8620666868951474,0.8620666868951474,0.02315167380558047
db2,5,0.8640000000000001,0.8635619386980405,0.8635619386980405,0.0344093010681705
db2,6,0.866,0.8651618891151387,0.8651618891151387,0.05314132102234567
db4,3,0.866,0.8650743895232058,0.8650743895232058,0.038781438859330664
db4,4,0.8779999999999999,0.8774843838303819,0.877484383830382,0.02925747767665561
db4,5,0.868,0.86730100856548,0.86730100856548,0.03544009029333873
db4,6,0.882,0.8818281506136539,0.8818281506136538,0.043543082114154516
db6,3,0.8800000000000001,0.8790510673270895,0.8790510673270895,0.026076809620810618
db6,4,0.8639999999999999,0.8633563171859139,0.8633563171859139,0.00489897948556636
db6,5,0.89,0.8900446683765189,0.8900446683765189,0.017888543819998333
db6,6,0.866,0.8652347816533265,0.8652347816533265,0.03773592452822645
db8,3,0.8699999999999999,0.869106647969798,0.869106647969798,0.024494897427831803
db8,4,0.8640000000000001,0.8625032454352095,0.8625032454352095,0.024166091947189165
db8,5,0.8720000000000001,0.8718142412609977,0.8718142412609977,0.02227105745132011
db8,6,0.874,0.873110627034856,0.873110627034856,0.021540659228538036
sym2,3,0.85,0.8502106401140344,0.8502106401140346,0.027568097504180468
sym2,4,0.8619999999999999,0.8620666868951474,0.8620666868951474,0.02315167380558047
sym2,5,0.8640000000000001,0.8635619386980405,0.8635619386980405,0.0344093010681705
sym2,6,0.866,0.8651618891151387,0.8651618891151387,0.05314132102234567
sym4,3,0.8700000000000001,0.8699405176726132,0.8699405176726132,0.039496835316263
sym4,4,0.8700000000000001,0.869077434347399,0.8690774343473988,0.03794733192202055
sym4,5,0.8559999999999999,0.8555597547510256,0.8555597547510259,0.03611094017053557
sym4,6,0.884,0.884426318986429,0.884426318986429,0.01743559577416271
sym6,3,0.8480000000000001,0.8461384652485349,0.8461384652485349,0.02638181191654583
sym6,4,0.884,0.8839861442753643,0.8839861442753643,0.024979991993593614
sym6,5,0.8799999999999999,0.8803154284387231,0.8803154284387231,0.027568097504180468
sym6,6,0.8939999999999999,0.8939642989082042,0.8939642989082042,0.013564659966250548
coif1,3,0.8240000000000001,0.8227732495871136,0.8227732495871136,0.033226495451672285
coif1,4,0.8459999999999999,0.8442304095880238,0.8442304095880238,0.030066592756745815
coif1,5,0.8480000000000001,0.846810748706894,0.846810748706894,0.036551333764994164
coif1,6,0.8799999999999999,0.8779906499291202,0.8779906499291205,0.025298221281347056
coif3,3,0.8720000000000001,0.8713633032169618,0.8713633032169618,0.031240998703626646
coif3,4,0.884,0.8825539608440763,0.8825539608440763,0.008000000000000007
coif3,5,0.8799999999999999,0.8795224769200946,0.8795224769200946,0.016733200530681523
coif3,6,0.874,0.8730940337886034,0.8730940337886034,0.027276363393971735
