threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.704,0.5943086036848292,0.6737812530844478,0.04270831300812523
median,True,0.6659999999999999,0.5797570169642865,0.6477204289883474,0.04079215610874226
mean,False,0.708,0.6148090637612785,0.6861963579207602,0.01326649916142161
mean,True,0.6659999999999999,0.5797570169642865,0.6477204289883474,0.04079215610874226
zero,False,0.6220000000000001,0.5491391967666565,0.6067787877212131,0.04578209256903838
zero,True,0.6659999999999999,0.5797570169642865,0.6477204289883474,0.04079215610874226
