threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.42400000000000004,0.4173455211703831,0.4173455211703831,0.04029888335921977
median,True,0.33799999999999997,0.3291211402931848,0.3291211402931848,0.04833218389437829
mean,False,0.33399999999999996,0.32900513833700173,0.32900513833700173,0.02727636339397171
mean,True,0.33799999999999997,0.3291211402931848,0.3291211402931848,0.04833218389437829
zero,False,0.31400000000000006,0.3104415713436456,0.3104415713436456,0.0185472369909914
zero,True,0.33799999999999997,0.3291211402931848,0.3291211402931848,0.04833218389437829
