threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.716,0.6001346679839096,0.681563888660398,0.0397994974842648
median,True,0.68,0.5866074661407195,0.6582113642704635,0.03633180424916989
mean,False,0.718,0.6135211304383513,0.6883347991165543,0.02135415650406264
mean,True,0.68,0.5866074661407195,0.6582113642704635,0.03633180424916989
zero,False,0.65,0.5656033533911172,0.6284205122307898,0.03224903099319419
zero,True,0.68,0.5866074661407195,0.6582113642704635,0.03633180424916989
