order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.8400000000000001,0.8207952493481432,0.8402826840512321,0.03887301263230201
3.0,2.0,0.8400000000000001,0.8202418495906189,0.8399836384649243,0.020000000000000007
3.0,3.0,0.8466666666666665,0.8256609967830035,0.8457218612684819,0.03399346342395188
3.0,4.0,0.8733333333333334,0.854209421660402,0.8716524482537554,0.022607766610417548
3.0,5.0,0.9100000000000001,0.8992789832906112,0.9101559078303264,0.02000000000000001
4.0,1.0,0.82,0.7981710649193625,0.8200743437097551,0.03559026084010435
4.0,2.0,0.8533333333333333,0.8311712438479425,0.8512344602023884,0.06271629240742262
4.0,3.0,0.8,0.7734678634156305,0.7989376228195768,0.05962847939999438
4.0,4.0,0.7733333333333332,0.7472767466261442,0.7740666931992234,0.058309518948453015
4.0,5.0,0.7833333333333332,0.7557939560307931,0.7830084438709424,0.027888667551135872
5.0,1.0,0.8533333333333333,0.8342420006568027,0.8529387480814623,0.032317865716108875
5.0,2.0,0.8333333333333334,0.8114200632477878,0.8327303494762587,0.02357022603955158
5.0,3.0,0.7933333333333333,0.7661049779912453,0.7921130346280578,0.05333333333333334
5.0,4.0,0.8300000000000001,0.8043216561624924,0.8274296466073547,0.05416025603090642
5.0,5.0,0.82,0.793286015998277,0.8178611823282942,0.028674417556808742
6.0,1.0,0.8466666666666667,0.8279903192584575,0.8468629969278318,0.043969686527576386
6.0,2.0,0.8066666666666666,0.7809778135976827,0.8057925227078785,0.04546060565661955
6.0,3.0,0.8400000000000001,0.819390827401097,0.8396024429143812,0.024944382578492935
6.0,4.0,0.8266666666666668,0.8057950148549586,0.8265055132123615,0.034318767136623324
6.0,5.0,0.8733333333333334,0.8567536137021861,0.872865389847262,0.016996731711975955
7.0,1.0,0.8333333333333334,0.8155808765406889,0.8345559402542946,0.010540925533894595
7.0,2.0,0.8300000000000001,0.8095180791557602,0.8300488086961517,0.030550504633038905
7.0,3.0,0.8633333333333335,0.843076613080892,0.8617775358183289,0.03055050463303891
7.0,4.0,0.8200000000000001,0.7990353451577494,0.8204326929893053,0.04136557881996952
7.0,5.0,0.89,0.8728674849882841,0.8883728455694268,0.016996731711975938
