order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.552,0.5811768757493327,0.5485900592885791,0.06462197768561405
3.0,2.0,0.5539999999999999,0.5289061189850518,0.5509357899870311,0.041279534881100574
3.0,3.0,0.668,0.6172439866546379,0.6583477337703574,0.024819347291981694
3.0,4.0,0.7100000000000001,0.6304976919648517,0.6937194954800872,0.02683281572999745
3.0,5.0,0.734,0.6715549970121982,0.727863860096712,0.022449944320643667
4.0,1.0,0.5040000000000001,0.5373924751143571,0.5034297492345632,0.026532998322843206
4.0,2.0,0.538,0.5108042850524475,0.5365234770248287,0.04915282290977803
4.0,3.0,0.5860000000000001,0.5346896307926043,0.5794563794818351,0.03440930106817049
4.0,4.0,0.664,0.6082516579215537,0.6546221951084229,0.028705400188814637
4.0,5.0,0.646,0.5882853544851472,0.6400407481120783,0.02059126028197402
5.0,1.0,0.5359999999999999,0.5644145097395199,0.5321583627157473,0.03666060555964671
5.0,2.0,0.5780000000000001,0.5516864521574462,0.5768483039924442,0.033704599092705415
5.0,3.0,0.6420000000000001,0.5904303712523092,0.635422923743935,0.04118252056394801
5.0,4.0,0.644,0.5893381087662476,0.6361029700049718,0.054990908339470096
5.0,5.0,0.6599999999999999,0.60526071731113,0.6553175417292565,0.027568097504180437
6.0,1.0,0.526,0.5512859881537839,0.5242576603898141,0.034409301068170535
6.0,2.0,0.5680000000000001,0.5451980272809172,0.5682957047463922,0.029933259094191512
6.0,3.0,0.62,0.5706323646395484,0.615208332516953,0.028982753492378905
6.0,4.0,0.6519999999999999,0.6042322616719542,0.6472687714902211,0.05230678732248808
6.0,5.0,0.694,0.6525645985095139,0.6908812759075703,0.04841487374764083
7.0,1.0,0.5039999999999999,0.5276333684282399,0.5033671579954225,0.025768197453450273
7.0,2.0,0.5860000000000001,0.5586745814722675,0.586754238922522,0.028705400188814643
7.0,3.0,0.67,0.6223875163008733,0.6641811072673794,0.02366431913239846
7.0,4.0,0.6699999999999999,0.6220185376253068,0.6649232771421122,0.041952353926806046
7.0,5.0,0.692,0.6628207321544128,0.6912579573886068,0.04578209256903838
