threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.4,0.3915572936867907,0.3915572936867907,0.0384707681233427
median,True,0.32999999999999996,0.32267251716497364,0.32267251716497364,0.03346640106136303
mean,False,0.36400000000000005,0.3575225888748411,0.3575225888748411,0.028705400188814643
mean,True,0.32999999999999996,0.32267251716497364,0.32267251716497364,0.03346640106136303
zero,False,0.338,0.3338622514134953,0.33386225141349524,0.027129319932501075
zero,True,0.32999999999999996,0.32267251716497364,0.32267251716497364,0.03346640106136303
