threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.7060000000000001,0.5959998881562605,0.6749657916857423,0.034409301068170486
median,True,0.6519999999999999,0.5803003780918418,0.643101766451523,0.04578209256903838
mean,False,0.702,0.6136826039927664,0.6827213907200711,0.013266499161421575
mean,True,0.6519999999999999,0.5803003780918418,0.643101766451523,0.04578209256903838
zero,False,0.62,0.5407029248398973,0.6042266840950965,0.0447213595499958
zero,True,0.6519999999999999,0.5803003780918418,0.643101766451523,0.04578209256903838
