order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.8533333333333333,0.8421168781418246,0.8560568052116242,0.032317865716108875
3.0,2.0,0.8699999999999999,0.8551919631925236,0.8704674913674634,0.02867441755680873
3.0,3.0,0.86,0.8395489905698387,0.8584070026535073,0.04027681991198188
3.0,4.0,0.9,0.8836215521627084,0.8980000285559235,0.02108185106778921
3.0,5.0,0.9266666666666665,0.9170011376794323,0.9263536195835936,0.034318767136623345
4.0,1.0,0.8566666666666667,0.8447895903837258,0.8590305468994333,0.01999999999999998
4.0,2.0,0.8633333333333335,0.8552016373014115,0.8665454614156305,0.02867441755680874
4.0,3.0,0.8299999999999998,0.8169327011668926,0.8327469817557656,0.04396968652757637
4.0,4.0,0.8233333333333333,0.8078894063407926,0.8258885038034631,0.027080128015453193
4.0,5.0,0.8266666666666668,0.8084751816271032,0.8279238160737746,0.016996731711975938
5.0,1.0,0.85,0.8368038690555114,0.8520231378997835,0.038005847503304595
5.0,2.0,0.8733333333333334,0.8661730151346161,0.8764374694423915,0.022607766610417544
5.0,3.0,0.8333333333333334,0.8242162149033323,0.8375089327158696,0.033333333333333326
5.0,4.0,0.85,0.8325934984903911,0.8501961330676149,0.034960294939005036
5.0,5.0,0.8233333333333333,0.8029824507239077,0.8239594850045769,0.02708012801545319
6.0,1.0,0.8700000000000001,0.8583751419774751,0.8717885746767922,0.02211083193570265
6.0,2.0,0.8666666666666668,0.8590092168632587,0.8699408189759336,0.021081851067789172
6.0,3.0,0.8466666666666667,0.8364021504118455,0.8499785757384638,0.037118429085533464
6.0,4.0,0.8433333333333334,0.8271691959373342,0.8445919346567695,0.038873012632301994
6.0,5.0,0.8533333333333333,0.8417079160822822,0.8559245873915755,0.03231786571610883
7.0,1.0,0.8666666666666668,0.8556228020333176,0.8689058998462436,0.0298142396999972
7.0,2.0,0.8700000000000001,0.8617159479507503,0.8728751326254407,0.01943650631615101
7.0,3.0,0.8566666666666667,0.8457778791316123,0.8593357727996651,0.02905932629027114
7.0,4.0,0.8400000000000001,0.8265396825396826,0.8425820105820104,0.02260776661041758
7.0,5.0,0.8933333333333333,0.8807643680469768,0.893560963416036,0.016996731711975938
