order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.8533333333333333,0.8354535090863516,0.8534742226547193,0.04521553322083512
3.0,2.0,0.8399999999999999,0.8151976141997604,0.8376438735063843,0.0270801280154532
3.0,3.0,0.8633333333333333,0.8446533970610786,0.8624751151975524,0.060918889608323555
3.0,4.0,0.9,0.8836885535390209,0.8981803214897164,0.03496029493900506
3.0,5.0,0.9166666666666666,0.90608789664141,0.9165058686751587,0.038005847503304595
4.0,1.0,0.8266666666666668,0.8053378926564587,0.8267214184297306,0.04294699575575043
4.0,2.0,0.85,0.8287406658900911,0.848447057979625,0.027888667551135858
4.0,3.0,0.8133333333333332,0.7890522810522811,0.812149073149073,0.05517648452415616
4.0,4.0,0.8133333333333332,0.7857481524545376,0.8111917212546637,0.024494897427831803
4.0,5.0,0.8266666666666668,0.7998205516482763,0.8241426408885502,0.034318767136623324
5.0,1.0,0.8466666666666667,0.8249092526789038,0.8454145777488167,0.02867441755680873
5.0,2.0,0.8400000000000001,0.8203155987285908,0.8399290003344098,0.022607766610417548
5.0,3.0,0.8099999999999999,0.7836876341965903,0.8080993957345255,0.03590109871423003
5.0,4.0,0.8433333333333334,0.8172221307116473,0.8399498500411353,0.02000000000000001
5.0,5.0,0.85,0.8274849844112943,0.8481176517713364,0.018257418583505554
6.0,1.0,0.8400000000000001,0.8150030404191357,0.8374747359449064,0.05734883511361753
6.0,2.0,0.8200000000000001,0.8003883359140943,0.821108679906237,0.030550504633038905
6.0,3.0,0.8466666666666667,0.8243413582844111,0.845003672562418,0.016329931618554516
6.0,4.0,0.8533333333333332,0.8323233917038525,0.8519115441011849,0.03711842908553347
6.0,5.0,0.8700000000000001,0.8515065023409054,0.8688552734765829,0.045215533220835116
7.0,1.0,0.85,0.8322190263293596,0.850309763577412,0.050552502960343665
7.0,2.0,0.8533333333333333,0.835765679243066,0.8535403905421927,0.03711842908553348
7.0,3.0,0.8566666666666667,0.8379909685868316,0.8562315230422671,0.027080128015453217
7.0,4.0,0.8466666666666665,0.8260535884288072,0.8458760314820142,0.03231786571610885
7.0,5.0,0.9033333333333333,0.8904377666182063,0.9029406236202341,0.01943650631615101
