feature,n_combinations,n_new_combinations,n_skipped,n_segments,n_calculations,total_sec,per_segment_sec,nan_count
hjorth,6,6,0,500,3000,12.38,0.0041,0
hurst,12,12,0,500,6000,225.91,0.0377,0
psd,48,48,0,500,24000,32.77,0.0014,42000
dwt,36,36,0,500,18000,39.91,0.0022,0
