order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.392,0.38427890516757196,0.38427890516757196,0.029257477676655597
3.0,2.0,0.39799999999999996,0.38724092029302565,0.3872409202930257,0.028565713714171402
3.0,3.0,0.414,0.4116416562768829,0.4116416562768829,0.03826225293941799
3.0,4.0,0.466,0.4583304017909688,0.4583304017909688,0.07337574531137658
3.0,5.0,0.366,0.35919850177936113,0.35919850177936113,0.047999999999999994
4.0,1.0,0.35200000000000004,0.3409373350508223,0.3409373350508223,0.018330302779823348
4.0,2.0,0.334,0.32745831275132653,0.32745831275132653,0.034985711369071804
4.0,3.0,0.37,0.36540861766124594,0.3654086176612458,0.03346640106136302
4.0,4.0,0.384,0.38020940218138893,0.38020940218138893,0.025768197453450256
4.0,5.0,0.404,0.3985720765150578,0.3985720765150578,0.013564659966250522
5.0,1.0,0.36400000000000005,0.35955975938532586,0.35955975938532586,0.040792156108742296
5.0,2.0,0.394,0.3794911988284032,0.37949119882840315,0.014966629547095755
5.0,3.0,0.366,0.35556762827006205,0.35556762827006205,0.04127953488110059
5.0,4.0,0.42000000000000004,0.41365530562472347,0.41365530562472347,0.023664319132398467
5.0,5.0,0.43,0.41929217943059793,0.41929217943059793,0.05761944116355175
6.0,1.0,0.40800000000000003,0.396015566213039,0.39601556621303907,0.05192301994298869
6.0,2.0,0.40800000000000003,0.399135347617354,0.3991353476173539,0.027856776554368242
6.0,3.0,0.394,0.3896133868518297,0.3896133868518296,0.03929376540877699
6.0,4.0,0.376,0.3689502812436582,0.36895028124365825,0.04127953488110058
6.0,5.0,0.41800000000000004,0.413005960998175,0.413005960998175,0.045343136195018535
7.0,1.0,0.39799999999999996,0.385856789353888,0.385856789353888,0.0627375485654325
7.0,2.0,0.398,0.3934184944162076,0.39341849441620763,0.017204650534085247
7.0,3.0,0.44400000000000006,0.4374502333034999,0.4374502333034999,0.04882622246293482
7.0,4.0,0.442,0.43625751731398427,0.43625751731398427,0.019390719429665332
7.0,5.0,0.44400000000000006,0.4444295677440665,0.44442956774406656,0.05748043145279966
