threshold,multiscale,accuracy,f1_macro,f1_weighted,std_accuracy
median,False,0.43,0.42528688287835587,0.42528688287835587,0.05099019513592784
median,True,0.34,0.3337014072025807,0.3337014072025807,0.030983866769659342
mean,False,0.328,0.3246315992051333,0.32463159920513324,0.019390719429665308
mean,True,0.34,0.3337014072025807,0.3337014072025807,0.030983866769659342
zero,False,0.306,0.30305512067385265,0.30305512067385265,0.01019803902718558
zero,True,0.34,0.3337014072025807,0.3337014072025807,0.030983866769659342
