feature_family,task,m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy,wavelet,level,n,window_size_sec,method,min_window,threshold,multiscale,order,delay,window,nperseg,overlap_ratio
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,db4,5.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,db4,6.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887916351845548,0.9900169478091334,0.0081649658092772,db6,3.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9925,0.9933333333333334,0.0133333333333333,db6,4.0,,,,,,,,,,,
dwt,binary,,,0.9966666666666668,0.996201329534663,0.9966445077556187,0.0066666666666666,db6,5.0,,,,,,,,,,,
dwt,binary,,,0.9966666666666668,0.996201329534663,0.9966445077556187,0.0066666666666666,db6,6.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924964823596087,0.9933307277823762,0.0081649658092772,db8,3.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9925,0.9933333333333334,0.0133333333333333,db8,4.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,db8,5.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924026590693258,0.9932890155112376,0.0081649658092772,db8,6.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924964823596087,0.9933307277823762,0.0081649658092772,sym2,3.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,sym2,4.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,sym2,5.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,sym2,6.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,sym4,3.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,sym4,4.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,sym4,5.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,sym4,6.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887916351845548,0.9900169478091334,0.0081649658092772,sym6,3.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9925,0.9933333333333334,0.0133333333333333,sym6,4.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924964823596087,0.9933307277823762,0.0081649658092772,sym6,5.0,,,,,,,,,,,
dwt,binary,,,0.9966666666666668,0.996201329534663,0.9966445077556187,0.0066666666666666,sym6,6.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,coif1,3.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9887013295346628,0.989977841088952,0.0133333333333333,coif1,4.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924026590693258,0.9932890155112376,0.0081649658092772,coif1,5.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924026590693258,0.9932890155112376,0.0081649658092772,coif1,6.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,coif3,3.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9925,0.9933333333333334,0.0133333333333333,coif3,4.0,,,,,,,,,,,
dwt,binary,,,0.99,0.9886978118942716,0.9899752355379948,0.0081649658092772,coif3,5.0,,,,,,,,,,,
dwt,binary,,,0.9933333333333334,0.9924026590693258,0.9932890155112376,0.0081649658092772,coif3,6.0,,,,,,,,,,,
dwt,five,,,0.85,0.8502106401140344,0.8502106401140346,0.0275680975041804,db2,3.0,,,,,,,,,,,
dwt,five,,,0.8619999999999999,0.8620666868951474,0.8620666868951474,0.0231516738055804,db2,4.0,,,,,,,,,,,
dwt,five,,,0.8640000000000001,0.8635619386980405,0.8635619386980405,0.0344093010681705,db2,5.0,,,,,,,,,,,
dwt,five,,,0.866,0.8651618891151387,0.8651618891151387,0.0531413210223456,db2,6.0,,,,,,,,,,,
dwt,five,,,0.866,0.8650743895232058,0.8650743895232058,0.0387814388593306,db4,3.0,,,,,,,,,,,
dwt,five,,,0.8779999999999999,0.8774843838303819,0.877484383830382,0.0292574776766556,db4,4.0,,,,,,,,,,,
dwt,five,,,0.868,0.86730100856548,0.86730100856548,0.0354400902933387,db4,5.0,,,,,,,,,,,
dwt,five,,,0.882,0.8818281506136539,0.8818281506136538,0.0435430821141545,db4,6.0,,,,,,,,,,,
dwt,five,,,0.8800000000000001,0.8790510673270895,0.8790510673270895,0.0260768096208106,db6,3.0,,,,,,,,,,,
dwt,five,,,0.8639999999999999,0.8633563171859139,0.8633563171859139,0.0048989794855663,db6,4.0,,,,,,,,,,,
dwt,five,,,0.89,0.8900446683765189,0.8900446683765189,0.0178885438199983,db6,5.0,,,,,,,,,,,
dwt,five,,,0.866,0.8652347816533265,0.8652347816533265,0.0377359245282264,db6,6.0,,,,,,,,,,,
dwt,five,,,0.8699999999999999,0.869106647969798,0.869106647969798,0.0244948974278318,db8,3.0,,,,,,,,,,,
dwt,five,,,0.8640000000000001,0.8625032454352095,0.8625032454352095,0.0241660919471891,db8,4.0,,,,,,,,,,,
dwt,five,,,0.8720000000000001,0.8718142412609977,0.8718142412609977,0.0222710574513201,db8,5.0,,,,,,,,,,,
dwt,five,,,0.874,0.873110627034856,0.873110627034856,0.021540659228538,db8,6.0,,,,,,,,,,,
dwt,five,,,0.85,0.8502106401140344,0.8502106401140346,0.0275680975041804,sym2,3.0,,,,,,,,,,,
dwt,five,,,0.8619999999999999,0.8620666868951474,0.8620666868951474,0.0231516738055804,sym2,4.0,,,,,,,,,,,
dwt,five,,,0.8640000000000001,0.8635619386980405,0.8635619386980405,0.0344093010681705,sym2,5.0,,,,,,,,,,,
dwt,five,,,0.866,0.8651618891151387,0.8651618891151387,0.0531413210223456,sym2,6.0,,,,,,,,,,,
dwt,five,,,0.8700000000000001,0.8699405176726132,0.8699405176726132,0.039496835316263,sym4,3.0,,,,,,,,,,,
dwt,five,,,0.8700000000000001,0.869077434347399,0.8690774343473988,0.0379473319220205,sym4,4.0,,,,,,,,,,,
dwt,five,,,0.8559999999999999,0.8555597547510256,0.8555597547510259,0.0361109401705355,sym4,5.0,,,,,,,,,,,
dwt,five,,,0.884,0.884426318986429,0.884426318986429,0.0174355957741627,sym4,6.0,,,,,,,,,,,
dwt,five,,,0.8480000000000001,0.8461384652485349,0.8461384652485349,0.0263818119165458,sym6,3.0,,,,,,,,,,,
dwt,five,,,0.884,0.8839861442753643,0.8839861442753643,0.0249799919935936,sym6,4.0,,,,,,,,,,,
dwt,five,,,0.8799999999999999,0.8803154284387231,0.8803154284387231,0.0275680975041804,sym6,5.0,,,,,,,,,,,
dwt,five,,,0.8939999999999999,0.8939642989082042,0.8939642989082042,0.0135646599662505,sym6,6.0,,,,,,,,,,,
dwt,five,,,0.8240000000000001,0.8227732495871136,0.8227732495871136,0.0332264954516722,coif1,3.0,,,,,,,,,,,
dwt,five,,,0.8459999999999999,0.8442304095880238,0.8442304095880238,0.0300665927567458,coif1,4.0,,,,,,,,,,,
dwt,five,,,0.8480000000000001,0.846810748706894,0.846810748706894,0.0365513337649941,coif1,5.0,,,,,,,,,,,
dwt,five,,,0.8799999999999999,0.8779906499291202,0.8779906499291205,0.025298221281347,coif1,6.0,,,,,,,,,,,
dwt,five,,,0.8720000000000001,0.8713633032169618,0.8713633032169618,0.0312409987036266,coif3,3.0,,,,,,,,,,,
dwt,five,,,0.884,0.8825539608440763,0.8825539608440763,0.008,coif3,4.0,,,,,,,,,,,
dwt,five,,,0.8799999999999999,0.8795224769200946,0.8795224769200946,0.0167332005306815,coif3,5.0,,,,,,,,,,,
dwt,five,,,0.874,0.8730940337886034,0.8730940337886034,0.0272763633939717,coif3,6.0,,,,,,,,,,,
dwt,ternary,,,0.968,0.967483350275958,0.9678772319452016,0.0213541565040626,db2,3.0,,,,,,,,,,,
dwt,ternary,,,0.958,0.958536604273536,0.9580368339737836,0.0203960780543711,db2,4.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.970223773309568,0.9699561736591272,0.0219089023002066,db2,5.0,,,,,,,,,,,
dwt,ternary,,,0.974,0.9736231957685768,0.9740354806099376,0.0135646599662505,db2,6.0,,,,,,,,,,,
dwt,ternary,,,0.972,0.9690005173152136,0.9717478636618516,0.0172046505340852,db4,3.0,,,,,,,,,,,
dwt,ternary,,,0.962,0.9589091733421846,0.961855853111819,0.0116619037896906,db4,4.0,,,,,,,,,,,
dwt,ternary,,,0.968,0.9651985716022248,0.96803119476821,0.0116619037896906,db4,5.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.9675367688447856,0.9699750115446316,0.0167332005306815,db4,6.0,,,,,,,,,,,
dwt,ternary,,,0.976,0.973311934708384,0.9759303656061048,0.0101980390271855,db6,3.0,,,,,,,,,,,
dwt,ternary,,,0.962,0.9591866887303148,0.9619549154072664,0.014696938456699,db6,4.0,,,,,,,,,,,
dwt,ternary,,,0.968,0.9659981914325606,0.968016379590254,0.0097979589711327,db6,5.0,,,,,,,,,,,
dwt,ternary,,,0.978,0.9743677119665216,0.9780598042310074,0.014696938456699,db6,6.0,,,,,,,,,,,
dwt,ternary,,,0.978,0.9774761564164808,0.9779982795071568,0.0116619037896906,db8,3.0,,,,,,,,,,,
dwt,ternary,,,0.974,0.9711780470553982,0.9738141448669662,0.0174355957741627,db8,4.0,,,,,,,,,,,
