order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.368,0.36372229215759144,0.3637222921575915,0.051536394906900505
3.0,2.0,0.356,0.3496189265538585,0.3496189265538585,0.040298883359219766
3.0,3.0,0.42799999999999994,0.4231238716105904,0.4231238716105904,0.04445222154178575
3.0,4.0,0.426,0.41976515486704596,0.41976515486704596,0.05388877434122991
3.0,5.0,0.34800000000000003,0.3428414969992956,0.34284149699929567,0.017204650534085247
4.0,1.0,0.33999999999999997,0.3321399994782659,0.3321399994782659,0.048989794855663564
4.0,2.0,0.334,0.3291392513074272,0.3291392513074272,0.013564659966250536
4.0,3.0,0.368,0.3608203863634719,0.3608203863634719,0.029933259094191523
4.0,4.0,0.372,0.3652300707411465,0.3652300707411465,0.017204650534085267
4.0,5.0,0.39399999999999996,0.3931294104967463,0.39312941049674627,0.03382306905057551
5.0,1.0,0.37599999999999995,0.37019425422134605,0.370194254221346,0.036110940170535566
5.0,2.0,0.324,0.31513509378735005,0.31513509378735016,0.058172158288995954
5.0,3.0,0.35000000000000003,0.34098318399955063,0.34098318399955063,0.04242640687119285
5.0,4.0,0.396,0.3889179316109306,0.38891793161093063,0.03136877428271625
5.0,5.0,0.462,0.45077631416449027,0.45077631416449016,0.0515363949069005
6.0,1.0,0.37,0.3584151567388968,0.3584151567388968,0.04516635916254487
6.0,2.0,0.40800000000000003,0.3997876783470319,0.3997876783470319,0.0370944739819828
6.0,3.0,0.382,0.37824409103585305,0.37824409103585305,0.01720465053408527
6.0,4.0,0.372,0.36695875865571875,0.36695875865571875,0.03709447398198281
6.0,5.0,0.42400000000000004,0.422092374683584,0.42209237468358385,0.032000000000000015
7.0,1.0,0.352,0.3433215431243324,0.34332154312433233,0.03969886648255842
7.0,2.0,0.382,0.3797961993265283,0.3797961993265283,0.04874423042781577
7.0,3.0,0.42400000000000004,0.41521623854173206,0.41521623854173206,0.05748043145279966
7.0,4.0,0.404,0.398988834263521,0.39898883426352094,0.018547236990991398
7.0,5.0,0.40199999999999997,0.40152656820155974,0.40152656820155974,0.0370944739819828
