order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.40599999999999997,0.3945643596446079,0.3945643596446079,0.03498571136907179
3.0,2.0,0.374,0.3636186297651566,0.3636186297651566,0.02154065922853802
3.0,3.0,0.414,0.4044568000459849,0.404456800045985,0.05276362383309168
3.0,4.0,0.42400000000000004,0.41460178457022545,0.41460178457022545,0.056071383075504744
3.0,5.0,0.376,0.3716256847971491,0.3716256847971492,0.049638694583963416
4.0,1.0,0.348,0.33852950374834306,0.33852950374834306,0.034292856398964476
4.0,2.0,0.33399999999999996,0.3218164104693437,0.3218164104693437,0.03666060555964671
4.0,3.0,0.396,0.3930163571706098,0.39301635717060973,0.05122499389946278
4.0,4.0,0.38999999999999996,0.38218891908221775,0.38218891908221775,0.01264911064067351
4.0,5.0,0.42800000000000005,0.4228555353994744,0.4228555353994744,0.034292856398964504
5.0,1.0,0.38,0.3679703472335548,0.3679703472335548,0.028982753492378877
5.0,2.0,0.384,0.3693623099171993,0.3693623099171993,0.01854723699099141
5.0,3.0,0.38199999999999995,0.37144498448786445,0.37144498448786434,0.01720465053408525
5.0,4.0,0.40599999999999997,0.39722560427496545,0.3972256042749654,0.024166091947189144
5.0,5.0,0.454,0.44513491254915144,0.4451349125491513,0.04543126676640219
6.0,1.0,0.40800000000000003,0.3920345595812121,0.3920345595812121,0.04261455150532503
6.0,2.0,0.43200000000000005,0.42208747580041617,0.42208747580041617,0.029933259094191526
6.0,3.0,0.396,0.3812101500072022,0.38121015000720226,0.03826225293941799
6.0,4.0,0.39799999999999996,0.38950752357211244,0.3895075235721125,0.027129319932501072
6.0,5.0,0.43600000000000005,0.4302700091202947,0.4302700091202947,0.05919459434779499
7.0,1.0,0.38,0.3693616780350337,0.3693616780350337,0.0316227766016838
7.0,2.0,0.382,0.37675818093889923,0.37675818093889923,0.03709447398198282
7.0,3.0,0.42400000000000004,0.417612172387111,0.417612172387111,0.039293765408777
7.0,4.0,0.462,0.4505110071647385,0.4505110071647385,0.021354156504062617
7.0,5.0,0.454,0.45138105234723336,0.45138105234723336,0.04409081537009721
